Zone,StationName,Year,Month,Day,AirTemperature,Lat,Long
1,6,2014,8,6,69.079283154122,47.66127,-122.301926
1,6,2014,8,7,69.2455882352942,47.66127,-122.301926
1,6,2014,8,8,68.33121863799285,47.66127,-122.301926
1,6,2014,8,9,69.7489785714285,47.66127,-122.301926
1,6,2014,8,10,72.92749999999994,47.66127,-122.301926
1,6,2014,8,11,78.84741134751793,47.66127,-122.301926
1,6,2014,8,12,72.52427561837466,47.66127,-122.301926
1,6,2014,8,13,65.77828671328673,47.66127,-122.301926
1,6,2014,8,14,65.88603484320559,47.66127,-122.301926
1,6,2014,8,15,67.33709407665488,47.66127,-122.301926
1,6,2014,8,16,70.28115151515168,47.66127,-122.301926
1,6,2014,8,17,71.61562989323842,47.66127,-122.301926
1,6,2014,8,18,73.58155944055947,47.66127,-122.301926
1,6,2014,8,19,73.66303859649115,47.66127,-122.301926
1,6,2014,8,20,64.81659515570934,47.66127,-122.301926
1,6,2014,8,21,63.37992957746484,47.66127,-122.301926
1,6,2014,8,22,66.83651048951054,47.66127,-122.301926
1,6,2014,8,23,70.3861408450704,47.66127,-122.301926
1,6,2014,8,24,68.78477031802133,47.66127,-122.301926
1,6,2014,8,25,71.84968309859148,47.66127,-122.301926
1,6,2014,8,26,75.09953356890452,47.66127,-122.301926
1,6,2014,8,27,74.71131250000009,47.66127,-122.301926
1,6,2014,8,28,67.10862068965517,47.66127,-122.301926
1,6,2014,8,29,65.91285815602835,47.66127,-122.301926
1,6,2014,8,30,62.57834965034962,47.66127,-122.301926
1,6,2014,8,31,62.93101052631592,47.66127,-122.301926
1,6,2014,9,1,65.34621830985918,47.66127,-122.301926
1,6,2014,9,2,62.401244755244754,47.66127,-122.301926
1,6,2014,9,3,61.49379790940768,47.66127,-122.301926
1,6,2014,9,4,64.29808362369339,47.66127,-122.301926
1,6,2014,9,5,68.86455944055952,47.66127,-122.301926
1,6,2014,9,6,73.30402090592338,47.66127,-122.301926
1,6,2014,9,7,70.44802807017538,47.66127,-122.301926
1,6,2014,9,8,62.67864808362369,47.66127,-122.301926
1,6,2014,9,9,63.49805673758881,47.66127,-122.301926
1,6,2014,9,10,62.34472280701745,47.66127,-122.301926
1,6,2014,9,11,65.43286619718315,47.66127,-122.301926
1,6,2014,9,12,64.31853479853483,47.66127,-122.301926
1,6,2014,9,13,68.38878445229689,47.66127,-122.301926
1,6,2014,9,14,69.52594326241137,47.66127,-122.301926
1,6,2014,9,15,70.33946478873234,47.66127,-122.301926
1,6,2014,9,16,65.90678571428569,47.66127,-122.301926
1,6,2014,9,17,65.87635789473674,47.66127,-122.301926
1,6,2014,9,18,64.01723776223781,47.66127,-122.301926
1,6,2014,9,19,68.06574647887322,47.66127,-122.301926
1,6,2014,9,20,66.68198095238081,47.66127,-122.301926
1,6,2014,9,21,68.34801403508779,47.66127,-122.301926
1,6,2014,9,22,65.89111827956991,47.66127,-122.301926
