index,record_number,month,quality_code,rainfall_in,site,time,wateryear
16263144,8032102,May,0.0,0.0,RG02,05/12/2012 02:00:00 PM,2012
6905426,63010115,May,0.0,0.0,RG17,05/24/2006 12:10:00 PM,2006
10026696,46075645,Jan,0.0,0.0,RG12,01/22/2008 06:00:00 AM,2008
3075423,54200594,Dec,0.0,0.0,RG15,12/21/2003 09:15:00 PM,2004
17315414,50804042,May,0.0,0.0,RG14,05/06/2012 07:10:00 AM,2012
6151175,33050079,Mar,0.0,0.0,RG09,03/21/2006 01:55:00 PM,2006
8576755,58827269,Apr,0.0,0.0,RG16,04/17/2007 05:35:00 PM,2007
133282,7049024,Jan,0.0,0.0,RG02,01/07/2003 02:50:00 AM,2003
6634798,54394977,Oct,0.0,0.0,RG15,10/26/2005 07:50:00 PM,2006
8950096,3279375,Nov,0.0,0.0,RG01,11/05/2007 01:20:00 AM,2008
13520788,42031914,Apr,0.0,0.0,RG11,04/12/2010 12:20:00 PM,2010
19521492,68015780,Apr,0.0,0.0,RG18,04/26/2013 07:00:00 AM,2013
13725427,50581063,Mar,0.0,0.0,RG14,03/24/2010 01:35:00 AM,2010
6315738,41559152,Oct,0.0,0.0,RG11,10/13/2005 11:30:00 PM,2006
2490211,28583580,Jun,0.0,0.0,RG08,06/02/2004 09:35:00 PM,2004
23846501,25571039,Jun,0.0,0.0,RG07,06/11/2016 04:25:00 PM,2016
3002631,49955835,Apr,0.0,0.0,RG14,04/13/2004 03:15:00 AM,2004
1566943,62722000,Aug,0.0,0.0,RG17,08/28/2003 02:35:00 AM,2003
7728941,24601415,Mar,0.0,0.0,RG07,03/24/2007 10:25:00 PM,2007
12076091,54785902,Jul,0.0,0.0,RG15,07/15/2009 04:55:00 AM,2009
3746318,7293612,May,0.0,0.0,RG02,05/05/2005 09:10:00 AM,2005
6914432,63019121,Jun,0.0,0.0,RG17,06/24/2006 06:40:00 PM,2006
9732158,33265206,Apr,0.0,0.0,RG09,04/06/2008 01:10:00 PM,2008
14022197,63394598,Jan,0.0,0.0,RG17,01/18/2010 12:25:00 PM,2010
14988597,29301038,Mar,0.0,0.0,RG08,03/30/2011 01:45:00 AM,2011
3565306,71378345,Aug,0.0,0.0,RG20_25,08/14/2004 08:50:00 PM,2004
738887,32688159,Oct,0.0,0.0,RG09,10/11/2002 09:55:00 PM,2003
22818747,55432430,Sep,0.0,0.0,RG15,09/07/2015 02:15:00 AM,2015
22220914,33973322,Dec,0.0,0.0,RG09,12/30/2014 06:50:00 AM,2015
13849473,54877364,May,0.0,0.0,RG15,05/28/2010 06:45:00 PM,2010
12808398,12113739,Jul,0.0,0.0,RG03,07/02/2010 10:30:00 PM,2010
5720275,15930159,Feb,0.0,0.0,RG04,02/13/2006 09:35:00 AM,2006
916828,37038355,Jun,0.0,0.0,RG10_30,06/21/2003 06:20:00 PM,2003
12239883,63294204,Feb,0.0,0.0,RG17,02/03/2009 10:15:00 PM,2009
9273484,16118664,Nov,0.0,0.0,RG04,11/29/2007 10:20:00 PM,2008
3153965,54279136,Sep,0.0,0.0,RG15,09/19/2004 02:25:00 PM,2004
13961765,59161911,Jun,0.0,0.0,RG16,06/22/2010 04:25:00 PM,2010
4999440,58613794,Apr,0.0,0.0,RG16,04/06/2005 12:00:00 PM,2005
22502612,42599530,Sep,0.0,0.0,RG11,09/04/2015 09:40:00 AM,2015
8081191,37470430,Jul,0.0,0.0,RG10_30,07/31/2007 12:35:00 AM,2007
16165959,3762950,Jun,0.0,0.0,RG01,06/10/2012 03:15:00 AM,2012
23691583,21244154,Dec,0.0,0.0,RG05,12/22/2015 06:35:00 PM,2016
21682373,12573506,Nov,0.0,0.0,RG03,11/15/2014 08:25:00 AM,2015
19367429,63689462,Nov,0.0,0.0,RG17,11/07/2012 08:25:00 AM,2013
6421407,45837076,Oct,0.0,0.0,RG12,10/15/2005 09:15:00 PM,2006
16332353,12273278,Jan,0.0,0.0,RG03,01/07/2012 09:25:00 PM,2012
22413562,42510480,Oct,0.0,0.0,RG11,10/30/2014 04:50:00 AM,2015
10970419,11957680,Jan,0.0,0.0,RG03,01/07/2009 01:35:00 AM,2009
24912314,68356522,Jul,0.0,0.0,RG18,07/22/2016 10:10:00 AM,2016
7816497,28861226,Jan,0.0,0.0,RG08,01/22/2007 10:45:00 PM,2007
7641397,20341616,May,0.0,0.0,RG05,05/24/2007 11:05:00 PM,2007
15467198,50640914,Oct,0.0,0.0,RG14,10/17/2010 09:10:00 PM,2011
12094358,54804169,Sep,0.0,0.0,RG15,09/16/2009 03:10:00 PM,2009
3616354,2991393,Feb,0.0,0.0,RG01,02/08/2005 02:50:00 AM,2005
11282027,24786053,Dec,0.0,0.0,RG07,12/25/2008 12:55:00 AM,2009
25277914,17105046,Apr,7.0,0.0,RG04,04/15/2017 08:50:00 PM,2017
22836153,59622091,Nov,0.0,0.0,RG16,11/06/2014 12:45:00 PM,2015
7402196,11757905,Feb,0.0,0.0,RG03,02/13/2007 09:40:00 AM,2007
3763542,7310836,Jul,0.0,0.0,RG02,07/04/2005 04:30:00 AM,2005
13603867,46287248,Jan,0.0,0.0,RG12,01/25/2010 11:35:00 PM,2010
8820660,67415684,Aug,0.0,0.0,RG18,08/12/2007 03:00:00 PM,2007
23080260,68210708,Mar,0.0,0.0,RG18,03/04/2015 03:00:00 AM,2015
685424,28462441,Apr,0.0,0.0,RG08,04/09/2003 06:40:00 AM,2003
23726266,21278837,Apr,0.0,0.0,RG05,04/21/2016 04:50:00 AM,2016
409620,15669872,Aug,0.0,0.0,RG04,08/24/2003 03:00:00 PM,2003
6305401,37376560,Sep,0.0,0.0,RG10_30,09/08/2006 02:05:00 AM,2006
1536056,62691113,May,0.0,0.0,RG17,05/12/2003 08:40:00 PM,2003
5758992,15968876,Jun,0.0,0.0,RG04,06/27/2006 08:00:00 PM,2006
23030827,63989020,Sep,0.0,0.0,RG17,09/13/2015 11:35:00 AM,2015
18988912,46621925,Apr,0.0,0.0,RG12,04/02/2013 01:20:00 AM,2013
20542563,38149146,Jan,0.0,0.0,RG10_30,01/11/2014 04:15:00 PM,2014
4047350,20111409,Mar,0.0,0.0,RG05,03/16/2005 03:10:00 PM,2005
17648211,63652740,Jul,0.0,0.0,RG17,07/02/2012 08:15:00 PM,2012
21291442,68103810,Feb,0.0,0.0,RG18,02/25/2014 10:50:00 PM,2014
637550,28414567,Oct,0.0,0.0,RG08,10/25/2002 01:10:00 AM,2003
21424197,72408820,Jun,0.0,0.0,RG20_25,06/01/2014 09:45:00 PM,2014
2298145,20047580,Aug,0.0,0.0,RG05,08/07/2004 12:05:00 AM,2004
12554261,3515092,Jan,0.0,0.0,RG01,01/31/2010 12:25:00 PM,2010
11766863,41959909,Aug,0.0,0.0,RG11,08/05/2009 11:55:00 AM,2009
14377117,3656028,Jun,0.0,0.0,RG01,06/04/2011 09:05:00 PM,2011
20476183,33910511,May,0.0,0.0,RG09,05/26/2014 04:35:00 AM,2014
1028870,41322652,Jul,0.0,0.0,RG11,07/15/2003 07:10:00 PM,2003
7790245,28834974,Oct,0.0,0.0,RG08,10/23/2006 07:05:00 PM,2007
10112617,50333533,Nov,0.0,0.0,RG14,11/15/2007 02:05:00 PM,2008
11746156,41939202,May,0.0,0.0,RG11,05/25/2009 02:20:00 PM,2009
14481094,7932260,May,0.0,0.0,RG02,05/31/2011 09:50:00 PM,2011
24796881,64069122,Jun,0.0,0.0,RG17,06/17/2016 02:45:00 PM,2016
16017697,72052688,Jan,0.0,0.0,RG20_25,01/12/2011 08:05:00 AM,2011
22138828,29718981,Mar,0.0,0.01,RG08,03/20/2015 06:20:00 AM,2015
4083393,20147452,Jul,0.0,0.0,RG05,07/19/2005 06:45:00 PM,2005
5588538,11626167,Nov,0.0,0.0,RG03,11/12/2005 11:30:00 PM,2006
6968776,67245720,Dec,0.0,0.01,RG18,12/30/2005 11:20:00 AM,2006
12387046,67613622,Jun,0.0,0.0,RG18,06/29/2009 09:50:00 PM,2009
21033059,55328662,Sep,0.0,0.0,RG15,09/11/2014 06:55:00 PM,2014
13422935,37761806,May,0.0,0.0,RG10_30,05/07/2010 05:55:00 PM,2010
7623925,20324144,Mar,0.0,0.0,RG05,03/25/2007 07:05:00 AM,2007
24180429,38420868,Aug,0.0,0.0,RG10_30,08/12/2016 03:45:00 AM,2016
21806833,16870221,Jan,0.0,0.0,RG04,01/21/2015 12:05:00 PM,2015
25911723,64118364,Dec,7.0,0.0,RG17,12/05/2016 02:15:00 PM,2017
20088765,16834073,Sep,0.0,0.0,RG04,09/17/2014 11:45:00 PM,2014
23782790,25507328,Nov,0.0,0.0,RG07,11/03/2015 11:10:00 AM,2016
610915,24215677,Jul,0.0,0.0,RG07,07/24/2003 01:35:00 PM,2003
25720986,51278670,Nov,7.0,0.0,RG14,11/09/2016 07:30:00 AM,2017
17190711,46507372,Feb,0.0,0.03,RG12,02/29/2012 07:15:00 AM,2012
18542471,29486464,Jan,0.0,0.0,RG08,01/01/2013 09:55:00 PM,2013
5708334,15918218,Jan,0.0,0.0,RG04,01/02/2006 10:30:00 PM,2006
1074006,45540043,Dec,0.0,0.0,RG12,12/19/2002 12:30:00 PM,2003
3047969,50001173,Sep,0.0,0.0,RG14,09/17/2004 01:25:00 PM,2004
7576264,20276483,Oct,0.0,0.0,RG05,10/10/2006 07:20:00 PM,2007
11098778,16258294,Mar,0.0,0.01,RG04,03/28/2009 06:10:00 PM,2009
22378958,38303621,Jul,0.0,0.0,RG10_30,07/02/2015 01:10:00 AM,2015
19255104,59404882,Oct,0.0,0.0,RG16,10/13/2012 08:00:00 AM,2013
14498915,7950081,Aug,0.0,0.0,RG02,08/01/2011 06:55:00 PM,2011
23513286,12721923,Apr,0.0,0.0,RG03,04/13/2016 04:30:00 PM,2016
12388873,67615449,Jul,0.0,0.0,RG18,07/06/2009 06:05:00 AM,2009
22162403,29742556,Jun,0.0,0.0,RG08,06/10/2015 02:55:00 AM,2015
25009051,72625226,Jun,0.0,0.0,RG20_25,06/22/2016 07:35:00 AM,2016
10119206,50340122,Dec,0.0,0.0,RG14,12/08/2007 11:10:00 AM,2008
2766637,41375907,Jan,0.0,0.0,RG11,01/16/2004 05:05:00 PM,2004
6076397,28803046,Jul,0.0,0.0,RG08,07/04/2006 10:25:00 PM,2006
5602551,11640180,Dec,0.0,0.0,RG03,12/31/2005 03:15:00 PM,2006
7601778,20301997,Jan,0.0,0.0,RG05,01/07/2007 09:30:00 AM,2007
19061155,50866423,Dec,0.0,0.0,RG14,12/08/2012 09:35:00 PM,2013
15511043,50684759,Mar,0.0,0.0,RG14,03/19/2011 02:55:00 AM,2011
14600634,12224055,Jul,0.0,0.0,RG03,07/20/2011 11:30:00 PM,2011
9464671,20481818,Sep,0.0,0.0,RG05,09/22/2008 06:35:00 PM,2008
10460951,63197768,Mar,0.0,0.0,RG17,03/06/2008 01:55:00 AM,2008
4459947,37213026,Feb,0.0,0.0,RG10_30,02/17/2005 06:15:00 AM,2005
5994553,24548947,Sep,0.0,0.0,RG07,09/23/2006 06:05:00 PM,2006
12878666,16356262,Mar,0.0,0.0,RG04,03/03/2010 10:10:00 PM,2010
13771637,50627273,Aug,0.0,0.0,RG14,08/31/2010 12:25:00 PM,2010
8147125,41708619,Mar,0.0,0.0,RG11,03/16/2007 11:05:00 PM,2007
8604546,58855060,Jul,0.0,0.0,RG16,07/23/2007 05:30:00 AM,2007
13461230,37800101,Sep,0.0,0.0,RG10_30,09/17/2010 05:10:00 PM,2010
180639,7096381,Jun,0.0,0.0,RG02,06/20/2003 01:15:00 PM,2003
12331638,67558214,Dec,0.0,0.0,RG18,12/19/2008 12:30:00 PM,2009
24767787,64040028,Mar,0.0,0.0,RG17,03/08/2016 02:15:00 PM,2016
1634949,66962261,Apr,0.0,0.0,RG18,04/21/2003 05:45:00 AM,2003
13352431,33519047,Sep,0.0,0.0,RG09,09/04/2010 10:35:00 PM,2010
15012778,29325219,Jun,0.0,0.0,RG08,06/22/2011 12:50:00 AM,2011
22451171,42548089,Mar,0.0,0.0,RG11,03/09/2015 06:55:00 PM,2015
4616985,41542319,Aug,0.0,0.0,RG11,08/16/2005 12:45:00 PM,2005
