index,StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
26711076,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",09/22/2017 09:47:00 AM,1503089,59.37,56.5
12559642,AlbroPlaceAirportWay,"(47.547426, -122.314114)",02/08/2016 12:33:00 PM,938727,56.87,51.16
23112910,NE45StViaduct,"(47.66127, -122.301929)",06/13/2017 04:01:00 PM,2419258,80.3,63.97
9597581,JoseRizalBridgeNorth,"(47.59653, -122.317301)",10/23/2015 10:29:00 AM,1395210,53.42,52.93
19763881,SpokaneSwingBridge,"(47.571389, -122.351743)",01/31/2017 09:49:00 AM,2118920,42.35,42.89
19277220,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",12/29/2016 04:48:00 PM,1119091,44.87,46.4
8546909,AlbroPlaceAirportWay,"(47.547426, -122.314114)",08/25/2015 12:38:00 PM,698192,91.3,68.64
29420684,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",01/24/2018 01:34:00 PM,1683282,48.8,46.75
14611506,AlbroPlaceAirportWay,"(47.547426, -122.314114)",03/07/2016 08:39:00 AM,978813,45.9,44.3
4537789,NE45StViaduct,"(47.66127, -122.301929)",01/19/2015 01:20:00 AM,1156995,45.71,46.74
17041038,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",07/29/2016 10:00:00 AM,898303,82.2,72.82
30375391,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",03/14/2018 04:54:00 PM,1752636,67.67,52.98
1416173,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",04/18/2014 12:02:00 AM,737906,48.24,48.24
5999234,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",04/10/2015 02:39:00 AM,1252144,55.21,55.21
19628769,MagnoliaBridge,"(47.633454, -122.387341)",01/22/2017 07:05:00 PM,2159583,41.81,43.28
15474409,AuroraBridge,"(47.643174, -122.347278)",04/07/2016 10:14:00 PM,1796297,68.34,57.85
27511886,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",10/23/2017 01:32:00 PM,1549301,69.34,53.57
